0,Egyptian cat
1,reel
2,volleyball
3,"rocking chair, rocker"
4,lemon
5,"bullfrog, Rana catesbeiana"
6,basketball
7,"cliff, drop, drop-off"
8,espresso
9,"plunger, plumber's helper"
10,parking meter
11,"German shepherd, German shepherd dog, German police dog, alsatian"
12,"dining table, board"
13,"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus"
14,"brown bear, bruin, Ursus arctos"
15,school bus
16,"pizza, pizza pie"
17,"guinea pig, Cavia cobaya"
18,umbrella
19,"organ, pipe organ"
20,"oboe, hautboy, hautbois"
21,maypole
22,"goldfish, Carassius auratus"
23,potpie
24,hourglass
25,"seashore, coast, seacoast, sea-coast"
26,"computer keyboard, keypad"
27,"Arabian camel, dromedary, Camelus dromedarius"
28,"ice cream, icecream"
29,nail
30,space heater
31,cardigan
32,baboon
33,snail
34,coral reef
35,"albatross, mollymawk"
36,"spider web, spider's web"
37,"sea cucumber, holothurian"
38,"backpack, back pack, knapsack, packsack, rucksack, haversack"
39,Labrador retriever
40,pretzel
41,"king penguin, Aptenodytes patagonica"
42,"sulphur butterfly, sulfur butterfly"
43,tarantula
44,"lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens"
45,"pop bottle, soda bottle"
46,banana
47,sock
48,"cockroach, roach"
49,"projectile, missile"
50,beer bottle
51,"mantis, mantid"
52,freight car
53,guacamole
54,"remote control, remote"
55,"European fire salamander, Salamandra salamandra"
56,"lakeside, lakeshore"
57,"chimpanzee, chimp, Pan troglodytes"
58,"pay-phone, pay-station"
59,fur coat
60,alp
61,"lampshade, lamp shade"
62,torch
63,abacus
64,moving van
65,"barrel, cask"
66,"tabby, tabby cat"
67,goose
68,"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus"
69,"bullet train, bullet"
70,CD player
71,teapot
72,birdhouse
73,gazelle
74,"academic gown, academic robe, judge's robe"
75,tractor
76,"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle"
77,"miniskirt, mini"
78,golden retriever
79,triumphal arch
80,cannon
81,neck brace
82,sombrero
83,"gasmask, respirator, gas helmet"
84,"candle, taper, wax light"
85,desk
86,"frying pan, frypan, skillet"
87,bee
88,"dam, dike, dyke"
89,"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish"
90,"police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria"
91,iPod
92,"punching bag, punch bag, punching ball, punchball"
93,"beacon, lighthouse, beacon light, pharos"
94,jellyfish
95,wok
96,potter's wheel
97,sandal
98,pill bottle
99,"butcher shop, meat market"
100,slug
101,"hog, pig, grunter, squealer, Sus scrofa"
102,"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor"
103,crane
104,vestment
105,"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk"
106,"cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM"
107,mushroom
108,"jinrikisha, ricksha, rickshaw"
109,water tower
110,chest
111,snorkel
112,"sunglasses, dark glasses, shades"
113,fly
114,"limousine, limo"
115,"black stork, Ciconia nigra"
116,"dugong, Dugong dugon"
117,"sports car, sport car"
118,water jug
119,suspension bridge
120,ox
121,"ice lolly, lolly, lollipop, popsicle"
122,turnstile
123,Christmas stocking
124,broom
125,scorpion
126,wooden spoon
127,"picket fence, paling"
128,rugby ball
129,sewing machine
130,steel arch bridge
131,Persian cat
132,"refrigerator, icebox"
133,barn
134,apron
135,Yorkshire terrier
136,"swimming trunks, bathing trunks"
137,"stopwatch, stop watch"
138,"lawn mower, mower"
139,"thatch, thatched roof"
140,fountain
141,"black widow, Latrodectus mactans"
142,"bikini, two-piece"
143,plate
144,"teddy, teddy bear"
145,barbershop
146,"confectionery, confectionary, candy store"
147,"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon"
148,scoreboard
149,orange
150,"flagpole, flagstaff"
151,"American lobster, Northern lobster, Maine lobster, Homarus americanus"
152,"trolleybus, trolley coach, trackless trolley"
153,drumstick
154,dumbbell
155,"brass, memorial tablet, plaque"
156,"bow tie, bow-tie, bowtie"
157,convertible
158,"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis"
159,"orangutan, orang, orangutang, Pongo pygmaeus"
160,"American alligator, Alligator mississipiensis"
161,centipede
162,syringe
163,go-kart
164,brain coral
165,"sea slug, nudibranch"
166,cliff dwelling
167,mashed potato
168,viaduct
169,military uniform
170,pomegranate
171,chain
172,kimono
173,comic book
174,trilobite
175,bison
176,pole
177,"boa constrictor, Constrictor constrictor"
178,poncho
179,"bathtub, bathing tub, bath, tub"
180,"grasshopper, hopper"
181,"walking stick, walkingstick, stick insect"
182,Chihuahua
183,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui"
184,"lion, king of beasts, Panthera leo"
185,altar
186,obelisk
187,beaker
188,bell pepper
189,"bannister, banister, balustrade, balusters, handrail"
190,"bucket, pail"
191,magnetic compass
192,"meat loaf, meatloaf"
193,gondola
194,standard poodle
195,acorn
196,lifeboat
197,"binoculars, field glasses, opera glasses"
198,cauliflower
199,"African elephant, Loxodonta africana"
